fn,name,argument,desc
pkgwide,pkgwide-str:theme_name,FALSE,optional name of theme
pkgwide,pkgwide-str:print_engine,FALSE,string indicating the default print engine
pkgwide,pkgwide-fn:pvalue_fun,FALSE,function to style p-values throughout package
pkgwide,pkgwide-fn:prependpvalue_fun,FALSE,"function to style p-values throughout package that include a ""p"" prefix, e.g. ""p<0.001"" or ""p=0.12"""
as_gt,as_gt-expr:addl_cmds,FALSE,expression of {gt} commands appended to the end of each `as_gt()` call
tbl_summary,tbl_summary-arg:label,TRUE,
tbl_summary,tbl_summary-arg:statistic,TRUE,
tbl_summary,tbl_summary-arg:digits,TRUE,
tbl_summary,tbl_summary-arg:type,TRUE,
tbl_summary,tbl_summary-arg:value,TRUE,
tbl_summary,tbl_summary-arg:missing,TRUE,
tbl_summary,tbl_summary-arg:missing_text,TRUE,
tbl_summary,tbl_summary-arg:percent,TRUE,
tbl_summary,tbl_summary-arg:sort,TRUE,
tbl_summary,tbl_summary-fn:percent_fun,FALSE,function to style percentages
tbl_summary,tbl_summary-str:label,FALSE,glue string defining the final label displayed. any column in `.$meta_data` may be used.
tbl_summary,tbl_summary-lgl:show_stat_footnote,FALSE,logical indicating whether to show footnote of displayed statistics
tbl_summary,tbl_summary-str:continuous_stat,FALSE,glue string defining the default continuous summary statistics to display
tbl_summary,tbl_summary-str:categorical_stat,FALSE,glue string defining the default categorical and dichotomous summary statistics to display
add_p.tbl_summary,add_p.tbl_summary-arg:test,TRUE,
add_p.tbl_summary,add_p.tbl_summary-arg:pvalue_fun,TRUE,
add_p.tbl_summary,add_p.tbl_summary-attr:test.continuous_by2,FALSE,default test for continuous variables with a 2-level by variable
add_p.tbl_summary,add_p.tbl_summary-attr:test.continuous,FALSE,default test for continuous variables with a 3- or more level by variable
add_p.tbl_summary,add_p.tbl_summary-attr:test.categorical,FALSE,default test for categorical/dichotomous variables
add_p.tbl_summary,add_p.tbl_summary-attr:test.categorical.low_count,FALSE,default test for categorical/dichotomous variables with minimum expected count <5
add_p.tbl_summary,add_p.tbl_summary-attr:test.categorical.group_by2,FALSE,default test for categorical/dichotomous grouped/correlated variables with a 2-level by variable
add_p.tbl_summary,add_p.tbl_summary-attr:test.continuous.group_by2,FALSE,default test for continuous grouped/correlated variables with a 2-level by variable
add_q,add_q-arg:method,TRUE,
add_q,add_q-arg:pvalue_fun,TRUE,
add_p.tbl_cross,add_p.tbl_cross-arg:test,TRUE,
add_p.tbl_cross,add_p.tbl_cross-arg:pvalue_fun,TRUE,
tbl_survfit,tbl_survfit-arg:statistic,TRUE,
tbl_regression,tbl_regression-arg:conf.level,TRUE,
tbl_regression,tbl_regression-arg:estimate_fun ,TRUE,
tbl_regression,tbl_regression-arg:pvalue_fun ,TRUE,
tbl_regression,tbl_regression-arg:tidy_fun ,TRUE,
