mime_type,ext,human_type,default
text/tab-separated-values,tsv,tsv,TRUE
application/x-vnd.oasis.opendocument.presentation,NA,NA,NA
image/jpeg,jpeg,jpeg,TRUE
image/jpeg,jpg,jpg,FALSE
image/jpeg,jpe,jpe,FALSE
image/bmp,NA,NA,NA
image/gif,gif,gif,TRUE
application/vnd.ms-excel.sheet.macroenabled.12,NA,NA,NA
application/vnd.openxmlformats-officedocument.wordprocessingml.template,dotx,dotx,TRUE
application/vnd.ms-powerpoint.presentation.macroenabled.12,NA,NA,NA
application/vnd.ms-word.template.macroenabled.12,NA,NA,NA
application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx,docx,TRUE
image/pjpeg,NA,NA,NA
application/vnd.google-apps.script+text/plain,NA,script+text/plain,NA
application/vnd.ms-excel,xls,xls,TRUE
application/vnd.ms-excel,xlb,xlb,FALSE
application/vnd.ms-excel,xlt,xlt,FALSE
application/vnd.sun.xml.writer,sxw,sxw,TRUE
application/vnd.ms-word.document.macroenabled.12,NA,NA,NA
application/vnd.ms-powerpoint.slideshow.macroenabled.12,NA,NA,NA
text/rtf,NA,NA,NA
text/plain,asc,asc,FALSE
text/plain,txt,txt,TRUE
text/plain,text,text,FALSE
text/plain,pot,pot,FALSE
text/plain,brf,brf,FALSE
text/plain,srt,srt,FALSE
application/vnd.oasis.opendocument.spreadsheet,ods,ods,TRUE
application/x-vnd.oasis.opendocument.spreadsheet,NA,NA,NA
image/png,png,png,TRUE
application/x-vnd.oasis.opendocument.text,NA,NA,NA
application/msword,doc,doc,TRUE
application/msword,dot,dot,FALSE
application/pdf,pdf,pdf,TRUE
application/json,json,json,TRUE
application/x-msmetafile,NA,NA,NA
application/vnd.openxmlformats-officedocument.spreadsheetml.template,xltx,xltx,TRUE
application/vnd.ms-powerpoint,ppt,ppt,TRUE
application/vnd.ms-powerpoint,pps,pps,FALSE
application/vnd.ms-excel.template.macroenabled.12,NA,NA,NA
image/x-bmp,NA,NA,NA
application/rtf,rtf,rtf,TRUE
application/vnd.openxmlformats-officedocument.presentationml.template,potx,potx,TRUE
image/x-png,NA,NA,NA
text/html,html,html,TRUE
text/html,htm,htm,FALSE
text/html,shtml,shtml,FALSE
application/vnd.oasis.opendocument.text,odt,odt,TRUE
application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx,pptx,TRUE
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,xlsx,TRUE
application/vnd.google-apps.script+json,NA,script+json,NA
application/vnd.openxmlformats-officedocument.presentationml.slideshow,ppsx,ppsx,TRUE
application/vnd.ms-powerpoint.template.macroenabled.12,NA,NA,NA
text/csv,csv,csv,TRUE
application/vnd.oasis.opendocument.presentation,odp,odp,TRUE
image/jpg,NA,NA,NA
text/richtext,rtx,rtx,TRUE
application/epub+zip,NA,NA,NA
application/zip,zip,zip,TRUE
image/svg+xml,svg,svg,TRUE
image/svg+xml,svgz,svgz,FALSE
application/vnd.google-apps.audio,NA,audio,NA
application/vnd.google-apps.document,NA,document,NA
application/vnd.google-apps.drawing,NA,drawing,NA
application/vnd.google-apps.file,NA,file,NA
application/vnd.google-apps.folder,NA,folder,NA
application/vnd.google-apps.form,NA,form,NA
application/vnd.google-apps.fusiontable,NA,fusiontable,NA
application/vnd.google-apps.map,NA,map,NA
application/vnd.google-apps.photo,NA,photo,NA
application/vnd.google-apps.presentation,NA,presentation,NA
application/vnd.google-apps.script,NA,script,NA
application/vnd.google-apps.site,NA,site,NA
application/vnd.google-apps.spreadsheet,NA,spreadsheet,NA
application/vnd.google-apps.unknown,NA,unknown,NA
application/vnd.google-apps.video,NA,video,NA
application/vnd.google-apps.drive-sdk,NA,drive-sdk,NA
application/vnd.google.colab,ipynb,colab,TRUE
