mime_type_local,mime_type_google,action,default
text/tab-separated-values,application/vnd.google-apps.spreadsheet,import,NA
application/x-vnd.oasis.opendocument.presentation,application/vnd.google-apps.presentation,import,NA
image/jpeg,application/vnd.google-apps.document,import,NA
image/bmp,application/vnd.google-apps.document,import,NA
image/gif,application/vnd.google-apps.document,import,NA
application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.google-apps.spreadsheet,import,NA
application/vnd.openxmlformats-officedocument.wordprocessingml.template,application/vnd.google-apps.document,import,NA
application/vnd.ms-powerpoint.presentation.macroenabled.12,application/vnd.google-apps.presentation,import,NA
application/vnd.ms-word.template.macroenabled.12,application/vnd.google-apps.document,import,NA
application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.google-apps.document,import,NA
image/pjpeg,application/vnd.google-apps.document,import,NA
application/vnd.google-apps.script+text/plain,application/vnd.google-apps.script,import,NA
application/vnd.ms-excel,application/vnd.google-apps.spreadsheet,import,NA
application/vnd.sun.xml.writer,application/vnd.google-apps.document,import,NA
application/vnd.ms-word.document.macroenabled.12,application/vnd.google-apps.document,import,NA
application/vnd.ms-powerpoint.slideshow.macroenabled.12,application/vnd.google-apps.presentation,import,NA
text/rtf,application/vnd.google-apps.document,import,NA
text/plain,application/vnd.google-apps.document,import,NA
application/vnd.oasis.opendocument.spreadsheet,application/vnd.google-apps.spreadsheet,import,NA
application/x-vnd.oasis.opendocument.spreadsheet,application/vnd.google-apps.spreadsheet,import,NA
image/png,application/vnd.google-apps.document,import,NA
application/x-vnd.oasis.opendocument.text,application/vnd.google-apps.document,import,NA
application/msword,application/vnd.google-apps.document,import,NA
application/pdf,application/vnd.google-apps.document,import,NA
application/json,application/vnd.google-apps.script,import,NA
application/x-msmetafile,application/vnd.google-apps.drawing,import,NA
application/vnd.openxmlformats-officedocument.spreadsheetml.template,application/vnd.google-apps.spreadsheet,import,NA
application/vnd.ms-powerpoint,application/vnd.google-apps.presentation,import,NA
application/vnd.ms-excel.template.macroenabled.12,application/vnd.google-apps.spreadsheet,import,NA
image/x-bmp,application/vnd.google-apps.document,import,NA
application/rtf,application/vnd.google-apps.document,import,NA
application/vnd.openxmlformats-officedocument.presentationml.template,application/vnd.google-apps.presentation,import,NA
image/x-png,application/vnd.google-apps.document,import,NA
text/html,application/vnd.google-apps.document,import,NA
application/vnd.oasis.opendocument.text,application/vnd.google-apps.document,import,NA
application/vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.google-apps.presentation,import,NA
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.google-apps.spreadsheet,import,NA
application/vnd.google-apps.script+json,application/vnd.google-apps.script,import,NA
application/vnd.openxmlformats-officedocument.presentationml.slideshow,application/vnd.google-apps.presentation,import,NA
application/vnd.ms-powerpoint.template.macroenabled.12,application/vnd.google-apps.presentation,import,NA
text/csv,application/vnd.google-apps.spreadsheet,import,NA
application/vnd.oasis.opendocument.presentation,application/vnd.google-apps.presentation,import,NA
image/jpg,application/vnd.google-apps.document,import,NA
text/richtext,application/vnd.google-apps.document,import,NA
application/rtf,application/vnd.google-apps.document,export,FALSE
application/vnd.oasis.opendocument.text,application/vnd.google-apps.document,export,FALSE
text/html,application/vnd.google-apps.document,export,FALSE
application/pdf,application/vnd.google-apps.document,export,FALSE
application/epub+zip,application/vnd.google-apps.document,export,FALSE
application/zip,application/vnd.google-apps.document,export,FALSE
application/vnd.openxmlformats-officedocument.wordprocessingml.document,application/vnd.google-apps.document,export,TRUE
text/plain,application/vnd.google-apps.document,export,FALSE
application/x-vnd.oasis.opendocument.spreadsheet,application/vnd.google-apps.spreadsheet,export,FALSE
text/tab-separated-values,application/vnd.google-apps.spreadsheet,export,FALSE
application/pdf,application/vnd.google-apps.spreadsheet,export,FALSE
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/vnd.google-apps.spreadsheet,export,TRUE
text/csv,application/vnd.google-apps.spreadsheet,export,FALSE
application/zip,application/vnd.google-apps.spreadsheet,export,FALSE
application/vnd.oasis.opendocument.spreadsheet,application/vnd.google-apps.spreadsheet,export,FALSE
application/pdf,application/vnd.google-apps.jam,export,FALSE
application/vnd.google-apps.script+json,application/vnd.google-apps.script,export,TRUE
application/vnd.oasis.opendocument.presentation,application/vnd.google-apps.presentation,export,FALSE
application/pdf,application/vnd.google-apps.presentation,export,FALSE
application/vnd.openxmlformats-officedocument.presentationml.presentation,application/vnd.google-apps.presentation,export,TRUE
text/plain,application/vnd.google-apps.presentation,export,FALSE
application/zip,application/vnd.google-apps.form,export,TRUE
image/svg+xml,application/vnd.google-apps.drawing,export,FALSE
image/png,application/vnd.google-apps.drawing,export,TRUE
application/pdf,application/vnd.google-apps.drawing,export,FALSE
image/jpeg,application/vnd.google-apps.drawing,export,FALSE
text/plain,application/vnd.google-apps.site,export,FALSE
