"package","object","tidy","glance","augment","effects=fixed","effects=ran_vals","effects=ran_pars","effects=ran_coefs","confint=”[Ww]ald”","confint=”profile”","confint=”boot”","component=zi","component=disp","covstruct"
"lme4","glmer","y","y","y","y","y","y","y",,"y",,"NA","NA","?"
"lme4","lmer","y","y","y","y","y","y","y",,"y",,"NA","NA","?"
"nlme","lme","y","y","y","y","y","y","y",,"n",,"NA","?","?"
"nlme","gls","y","y","y","y","NA","NA","NA",,"n",,"NA","?","?"
"nlme","nlme","y","y","y","y","y","n","y",,"n",,"NA","?","?"
"glmmTMB","glmmTMB","y","y","y","y","y","y","n",,,,"y","y","?"
"glmmADMB","glmmadmb","y","y","y","y","y","y","n",,,,"y","?","?"
"brms","brmsfit","y","y","y","y","y","y","n",,,,"y","?","?"
"rstanarm","stanreg","y","y","y","y","y","y","n",,,,"NA","NA","?"
"MCMCglmm","MCMCglmm","y","y","y","y","y","y","n",,,,"?","?","?"
"TMB","TMB","y","n","n","n","n","n","n",,,,"NA","NA","?"
"INLA",,"n","n","n","n","n","n","n",,,,"?","?","?"
